排名,姓名,锦标赛,ACES,双误,一发,一发得分,二发得分,挽救破发点,一发回球得分,二发回球得分,成功破发,抢七,决胜盘,首盘获胜,首盘告负
1,Rafael Nadal,17,284,121,68,74,62,71,35,56,41,66.7,69.2,96.8,42.9
2,Roger Federer,16,515,95,62,80,59,67,33,52,41,70.4,84.6,95.6,75
3,Alexander Zverev,24,589,247,64,75,54,65,29,51,46,59.4,68,83.3,45
4,Dominic Thiem,26,432,212,59,75,53,68,31,50,40,53.3,35.3,89.4,23.1
5,Marin Cilic,21,694,191,58,80,53,61,31,52,38,53.6,52.6,86.7,27.8
6,Grigor Dimitrov,22,545,235,63,78,52,70,30,51,38,63,47.8,90.5,28.6
7,Stan Wawrinka,15,265,83,60,73,56,65,29,49,40,70,75,95,41.2
8,David Goffin,25,408,196,58,73,53,64,30,54,41,54.3,80,91.1,41.9
9,Jack Sock,21,360,210,59,73,53,59,28,50,36,70,64,85.3,33.3
10,Pablo Carreno Busta,24,204,95,68,67,53,62,30,53,43,69.2,52.9,82.1,19
11,Juan Martin del Potro,19,460,124,64,76,51,60,28,50,39,72,70.6,88.9,33.3
12,Novak Djokovic,16,742,178,57,80,51,63,28,49,43,62.5,80,100,33.3
13,Sam Querrey,23,738,147,65,79,54,70,27,47,35,50,64.7,85.3,30.4
14,Kevin Anderson,22,487,114,61,80,53,64,30,50,40,52.8,50,86.7,26.1
15,Jo-Wilfried Tsonga,20,202,98,59,72,53,56,35,54,48,56.7,56.3,88.6,37.5
16,Andy Murray,16,1123,127,71,80,56,71,21,41,34,70.6,28.6,87.5,36.4
17,John Isner,24,459,216,56,75,53,65,27,52,41,61.8,55,91.2,26.9
18,Lucas Pouille,24,414,128,58,78,53,67,25,51,43,47.1,64.7,93.3,26.9
19,Tomas Berdych,19,192,147,63,70,55,60,32,54,43,56.7,46.7,82.1,21.4
20,Roberto Bautista Agut,24,522,155,64,79,55,63,26,47,38,54.3,50,91.3,26.1
21,Nick Kyrgios,19,140,101,62,71,52,64,31,54,43,68,50,82.4,21.4
22,Kei Nishikori,19,284,162,61,68,53,62,30,50,39,47.4,70.6,83.3,52.6
23,Albert Ramos-Vinolas,30,284,162,61,68,53,62,30,50,39,44.1,56.3,67.6,35.5
24,Milos Raonic,20,566,138,64,79,56,66,28,49,35,59.3,80,92,37.5
25,Gilles Muller,22,735,193,62,80,51,73,25,46,36,65.5,69.2,87.9,17.6
26,Diego Schwartzman,28,156,158,61,66,51,57,34,56,43,38.1,42.9,82.9,19.2
27,Fabio Fognini,24,189,271,59,69,50,59,31,50,39,60,68.2,93.3,27.6
28,Adrian Mannarino,29,245,143,60,69,52,58,30,51,44,40,66.7,77.4,31
29,Philipp Kohlschreiber,22,267,104,59,76,52,64,29,51,41,51.9,56.3,82.4,23.5
30,Damir Dzumhur,28,155,189,64,66,51,59,33,51,48,61.1,53.8,92.9,31.3
31,Richard Gasquet,21,142,92,62,72,53,64,30,54,41,29.4,63.2,84.6,33.3
32,Mischa Zverev,31,388,163,65,72,50,65,29,45,42,40.7,60,75.8,17.2
33,Filip Krajinovic,26,54,14,67,73,53,57,28,47,53,66.7,50,71.4,0
34,Fernando Verdasco,25,217,185,68,70,50,61,31,52,41,66.7,28.6,68.4,18.8
35,Feliciano Lopez,25,521,139,59,77,50,65,25,45,35,51.6,52.4,80,21.7
36,David Ferrer,23,119,209,60,70,51,62,31,51,38,35.7,66.7,78.3,27.3
37,Andrey Rublev,23,167,125,58,70,49,60,30,53,45,50,58.3,85.7,30
38,Pablo Cuevas,24,217,149,59,73,50,60,29,48,40,42.9,56.3,88.2,20.8
39,Alexandr Dolgopolov,24,319,138,56,74,52,60,27,49,40,63.6,46.2,89.3,13
40,Yuichi Sugita,29,110,78,63,68,50,59,29,52,43,64.7,53.8,85.7,23.5
41,Benoit Paire,33,517,287,53,75,46,61,33,47,43,66.7,31.3,90.9,3.4
42,Robin Haase,30,394,160,59,73,51,60,29,50,37,41.7,34.8,71.9,19.2
43,Paolo Lorenzi,34,266,158,59,70,53,59,26,48,37,46.9,40,71.4,15.6
44,Steve Johnson,26,410,177,60,76,51,63,26,46,39,50,52.9,86.7,18.2
45,Karen Khachanov,28,409,186,57,74,51,60,28,48,37,45.9,44.4,77.8,14.8
46,Gael Monfils,17,314,137,62,72,50,62,33,49,41,50,50,81,23.1
47,Ryan Harrison,26,313,142,59,72,49,63,27,47,38,30,63.6,94.1,12
48,Borna Coric,28,280,119,62,71,53,68,25,50,37,48,37.5,88.9,17.9
49,Aljaz Bedene,21,293,75,59,75,52,57,29,49,38,37.5,63.6,88.2,20
50,Kyle Edmund,27,315,162,58,74,53,63,27,52,39,46.4,28,68.6,24
51,Denis Shapovalov,23,173,87,59,74,55,63,26,45,32,58.8,66.7,75,35.7
52,Julien Benneteau,20,193,108,61,75,48,59,25,50,38,40,44.4,83.3,20
53,Leonardo Mayer,19,128,51,63,72,56,61,27,50,40,60,62.5,60,55.6
54,Hyeon Chung,23,141,130,60,71,48,61,32,53,41,55.6,50,78.6,14.3
55,Jared Donaldson,29,303,156,53,75,50,60,28,51,37,50,44.4,77.3,19
56,Jan-Lennard Struff,33,456,239,53,78,50,66,26,48,36,37.5,52.9,74.1,26.7
57,Viktor Troicki,28,334,162,60,73,47,58,28,49,37,60.9,66.7,82.6,17.2
